interaction	direction	draw	weight
r150L	0	1	0.0365
r150R	1	1	0.0365
r185L	0	0	0.0000
r185R	0	0	0.0000
r186L	0	1	1.5905
r186R	1	1	1.5905
r279L	0	0	0.0000
r279R	0	0	0.0000
r280L	0	1	1.7372
r280R	1	1	1.7372
r291L	0	0	0.0000
r291R	0	0	0.0000
r301L	0	0	0.0000
r301R	0	0	0.0000
r345L	1	1	6.8847
r345R	0	1	6.8847
r346L	1	1	0.6992
r346R	0	1	0.6992
r358L	0	1	0.0362
r358R	1	1	0.0362
r359L	0	1	42.8533
r359R	1	1	42.8533
r368L	0	0	0.0000
r368R	0	0	0.0000
r369L	1	1	0.0611
r369R	0	1	0.0611
r370L	1	1	103.4695
r370R	0	1	103.4695
r371L	1	1	0.0923
r371R	0	1	0.0923
r372L	1	1	42.7972
r372R	0	1	42.7972
r444L	0	0	0.0000
r444R	0	0	0.0000
r445L	0	1	103.5306
r445R	1	1	103.5306
r447L	0	0	0.0000
r447R	0	0	0.0000
r448L	1	1	1.7372
r448R	0	1	1.7372
r459L	0	0	0.0000
r459R	0	0	0.0000
r460L	0	0	0.0000
r460R	0	0	0.0000
r491L	0	0	0.0000
r491R	0	0	0.0000
r647L	0	0	0.0000
r647R	0	0	0.0000
r648L	0	0	0.0000
r648R	0	0	0.0000
r649L	0	0	0.0000
r649R	0	0	0.0000
r650L	1	1	7.5926
r650R	0	1	7.5926
r715L	0	0	0.0000
r715R	0	0	0.0000
r904L	0	1	0.0923
r904R	1	1	0.0923
r905L	0	1	42.7972
r905R	1	1	42.7972
